"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 26 09:10:24 UTC 2022","Thu May 26 09:10:25 UTC 2022","1402","","Refunds API tests","","Refunds API tests","can list all refunds","can list all refunds",""
"failed","Thu May 26 09:08:55 UTC 2022","Thu May 26 09:09:00 UTC 2022","5001","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'pending'","can create an order with status 'pending'",""
"passed","Thu May 26 09:09:39 UTC 2022","Thu May 26 09:09:41 UTC 2022","1690","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add a product to an order","can add a product to an order",""
"passed","Thu May 26 09:10:19 UTC 2022","Thu May 26 09:10:22 UTC 2022","3552","","Refunds API tests","","Refunds API tests","can create a refund","can create a refund",""
"passed","Thu May 26 09:08:00 UTC 2022","Thu May 26 09:08:04 UTC 2022","4012","","Coupons API tests","","Coupons API tests","can create a coupon","can create a coupon",""
"passed","Thu May 26 09:08:50 UTC 2022","Thu May 26 09:08:54 UTC 2022","4088","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch delete products","can batch delete products",""
"failed","Thu May 26 09:05:13 UTC 2022","Thu May 26 09:05:13 UTC 2022","0","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tags","tags",""
"passed","Thu May 26 09:08:20 UTC 2022","Thu May 26 09:08:22 UTC 2022","1483","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit result set to matching code","can limit result set to matching code",""
"passed","Thu May 26 09:09:36 UTC 2022","Thu May 26 09:09:38 UTC 2022","1668","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'failed'","can update status of an order to 'failed'",""
"passed","Thu May 26 09:08:46 UTC 2022","Thu May 26 09:08:48 UTC 2022","2122","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch create products","can batch create products",""
"passed","Thu May 26 09:08:05 UTC 2022","Thu May 26 09:08:07 UTC 2022","1465","","Coupons API tests","","Coupons API tests","can update a coupon","can update a coupon",""
"passed","Thu May 26 09:08:12 UTC 2022","Thu May 26 09:08:13 UTC 2022","1353","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch update coupons","can batch update coupons",""
"passed","Thu May 26 09:08:23 UTC 2022","Thu May 26 09:08:24 UTC 2022","1005","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit results to matching string","can limit results to matching string",""
"passed","Thu May 26 09:10:40 UTC 2022","Thu May 26 09:10:41 UTC 2022","1812","","Order Search API tests","","Order Search API tests","can search by billing company name","can search by billing company name",""
"passed","Thu May 26 09:10:58 UTC 2022","Thu May 26 09:10:59 UTC 2022","1315","","Order Search API tests","","Order Search API tests","can return an empty result set when no matches were found","can return an empty result set when no matches were found",""
"passed","Thu May 26 09:07:41 UTC 2022","Thu May 26 09:07:44 UTC 2022","2261","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","default","default",""
"failed","Thu May 26 09:05:05 UTC 2022","Thu May 26 09:05:08 UTC 2022","2403","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","before / after","before / after",""
"passed","Thu May 26 09:07:16 UTC 2022","Thu May 26 09:07:21 UTC 2022","4558","","Orders API tests List all orders","","Orders API tests List all orders","inclusion / exclusion","inclusion / exclusion",""
"passed","Thu May 26 09:07:09 UTC 2022","Thu May 26 09:07:11 UTC 2022","2884","","Orders API tests","","Orders API tests","can permanently delete an order","can permanently delete an order",""
"passed","Thu May 26 09:09:31 UTC 2022","Thu May 26 09:09:33 UTC 2022","1632","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'completed'","can update status of an order to 'completed'",""
"passed","Thu May 26 09:11:01 UTC 2022","Thu May 26 09:11:04 UTC 2022","2943","","Shipping methods API tests","","Shipping methods API tests","can add a 'Flat rate' shipping method","can add a 'Flat rate' shipping method",""
"passed","Thu May 26 09:10:05 UTC 2022","Thu May 26 09:10:06 UTC 2022","1527","","Shipping zones API tests","","Shipping zones API tests","cannot update the default shipping zone","cannot update the default shipping zone",""
"passed","Thu May 26 09:10:36 UTC 2022","Thu May 26 09:10:38 UTC 2022","1857","","Order Search API tests","","Order Search API tests","can search by orderId","can search by orderId",""
"passed","Thu May 26 09:10:38 UTC 2022","Thu May 26 09:10:40 UTC 2022","1340","","Order Search API tests","","Order Search API tests","can search by billing first name","can search by billing first name",""
"passed","Thu May 26 09:08:54 UTC 2022","Thu May 26 09:08:55 UTC 2022","1330","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create a pending order by default","can create a pending order by default",""
"passed","Thu May 26 09:10:45 UTC 2022","Thu May 26 09:10:46 UTC 2022","1366","","Order Search API tests","","Order Search API tests","can search by billing post code","can search by billing post code",""
"failed","Thu May 26 09:07:36 UTC 2022","Thu May 26 09:07:41 UTC 2022","5001","","Orders API tests List all orders","","Orders API tests List all orders","search","search",""
"passed","Thu May 26 09:09:28 UTC 2022","Thu May 26 09:09:30 UTC 2022","1445","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'processing'","can update status of an order to 'processing'",""
"passed","Thu May 26 09:09:25 UTC 2022","Thu May 26 09:09:28 UTC 2022","3047","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'pending'","can update status of an order to 'pending'",""
"failed","Thu May 26 09:05:13 UTC 2022","Thu May 26 09:05:13 UTC 2022","1","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","parent","parent",""
"failed","Thu May 26 09:09:11 UTC 2022","Thu May 26 09:09:16 UTC 2022","5001","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'cancelled'","can create an order with status 'cancelled'",""
"passed","Thu May 26 09:11:04 UTC 2022","Thu May 26 09:11:07 UTC 2022","3231","","Shipping methods API tests","","Shipping methods API tests","can add a 'Free shipping' shipping method","can add a 'Free shipping' shipping method",""
"passed","Thu May 26 09:09:05 UTC 2022","Thu May 26 09:09:08 UTC 2022","2709","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'on-hold'","can create an order with status 'on-hold'",""
